band,lambda min,lambda max,comment
Band 1,6.0e3,8.0e3,not vail as of cycle 5
Band 2,3.3e3,4.6e3,not vail as of cycle 5
Band 3,2.6e3,3.6e3,
Band 4,1.8e3,2.4e3,
Band 5,1.4e3,1.8e3,
Band 6,1.1e3,1.4e3,
Band 7,8.0e2,1.1e3,
Band 8,6.0e2,8.0e2,
Band 9,4.0e2,5.0e2,
Band 10,3.0e2,4.0e2,
