band,lambda min,lambda max,comment
Band 1*,6000.0,8000.0,not vail as of cycle 5
Band 2*,3300.0,4600.0,not vail as of cycle 5
Band 3,2600.0,3600.0,
Band 4,1800.0,2400.0,
Band 5,1400.0,1800.0,
Band 6,1100.0,1400.0,
Band 7,800.0,1100.0,
Band 8,600.0,800.0,
Band 9,400.0,500.0,
Band 10,300.0,400.0,
