band,lambda min,lambda max,comment
R,0.65,1.0,
J,1.0,1.4,
H,1.5,1.8,
K,2.0,2.4,
L,3.0,4.0,
M,4.6,5.0,
N,7.5,14.5,
Q,17.0,25.0,
Z,28.0,40.0,
